path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line
BibiGPT-v1\25753bb3f719a0f4c1b39bd136e2ec0d3eeae99d\utils\formatSummary.ts,5,generated by chatgpt,,
plasmic\03acd6a027d8133337e1a5968158d399cca328ab\platform\wab\src\wab\server\loader\error-handler.ts,18,generated by chatgpt,,
woocommerce\b0ee77621fe0d097a0d91eaed072ff6125f440c2\plugins\woocommerce-admin\client\customize-store\design-with-ai\prompts\fontPairings.ts,6,generated by chatgpt,,
piperider\acd03ada28beeef3459c74cec3227481034651af\static_report\src\utils\graph.ts,37,generated by chatgpt,,
tangle\7591071a5320e69b9c7d15d3667fdb689c35ef39\tangle_ts\src\room.ts,35,generated by chatgpt,,
chatgpt-web-next\f6eda930dbeaa0150f3a46e01b68a516f5b63802\src\hooks\useCountDown.ts,2,generated by chatgpt,,
datalog-ts\72df8a3827bed4f038ca3d26b2d694fc91b338e4\core\opt\simplex.ts,13,generated by chatgpt,,
programming.in.th\42b94fa69196ba3522ac584ac927f6c72563ff1c\src\app\api\user\filterName.spec.ts,16,generated by chatgpt,,
remix-mdx-blog\16c17704c90b0306ad1605533fefeecdcd9cea2a\app\data\blogList.server.ts,29,generated by chatgpt,,
chat-ui-builder\f07d926a6d6101581b97db3627636d6ed3db2e6d\src\utils\stackBlitzClient.ts,21,generated by chatgpt,,
liftosaur\79e885d34d341d05a7519e6fd0f8c0351d46fe5b\lambda\utils\freeformGenerator.ts,399,generated by chatgpt,,
abais\2947d0d885332e9151001cc86b383ce3297439d5\utils\userIdGenerator.ts,3,generated by chatgpt,,
bullmq-proxy\506d4e6327b2074d6411b7c330e58ef2da27b025\src\ascii-art.ts,3,generated by chatgpt,,
wxt-examples\9d5e5c96539ca297544c3daf698a1ba6272ea3b1\scripts\parse-git-diff.ts,15,generated by chatgpt,,
_ts-api-template\9a7a755504cd72db94f524f362e1511e777ef250\src\api.ts,1,generated by chatgpt,,
songify-app\24ece4b06ccdb13d33afd6cb6c9d98c682879191\server\prisma\seed.ts,12,generated by chatgpt,,
