index,project_name,create_time,project_language,contributor,star,fork,issues,watch,project_commits,code_language,keyword_index,matched_keyword,path_of_first_file_commit,final_change_commit_path,code_granularity_data,code_func_type,number_of_bug_or_vulnerability_all_commit,start_end_line_data,first_loc,final_start_end_line_data,final_loc_add,final_loc_minus,final_change_type,test_code_data,regular_expression_data,number_of_commits,number_of_change_commit_to_first,change_commit_to_first_index,change_commit_to_first_hash,change_commit_to_first_blocks,number_of_all_change_commit,all_change_commit_index,all_change_commit_hash,all_change_commit_blocks,number_of_all_change_fix_commit,all_change_fix_commit_index,all_change_fix_commit_hash,all_change_fix_commit_blocks,project_lines,project_locs,project_statements,project_functions,project_classes,project_files,project_density_comments,project_comments,project_duplicated_lines,project_duplicated_blocks,project_duplicated_files,project_duplicated_lines_density,project_vulnerability,project_bugs,project_code_smells,project_sqale_index,project_sqale_debt_ratio,project_complexity_all,project_cognitive_complexity_all,project_complexity_mean_method,project_cognitive_complexity_mean_method,code_lines,code_locs,code_statements,code_functions,code_classes,code_files,code_density_comments,code_comments,code_duplicated_lines,code_duplicated_blocks,code_duplicated_files,code_duplicated_lines_density,code_code_smells,code_sqale_index,code_sqale_debt_ratio,code_complexity_all,code_cognitive_complexity_all,code_complexity_mean_method,code_cognitive_complexity_mean_method,manual_vs_gpt_loc_ratio,manual_vs_gpt_change_commit_ratio,manual_vs_gpt_change_fix_commit_ratio,code_vulnerability,code_bugs
1,TRGB-BikeComputer,2023-02-26 18:36:56,C,,12,1,12,3,66,C++,42,generated by chatgpt,TRGB-BikeComputer\527bba20130d08aad65052928ec577ff4052fb8b\src\I2CSensors.h,,statement,,25,"[44,48]",5,,,,,,,5,0,[],[],[],0,[],[],[],0,[],[],[],4425,2325,1366,129,9,36,24.4,749,0,0,0,0.0,0,0,810,6607,9.5,435,470,3.37,3.64,6,5,0,0,0,1,50.0,5,0,0,0,0.0,6,30,20.0,0,0,0.0,0.0,,,,0,0
4,paddlefx,2023-02-15 06:45:16,Python,8,14,16,4,5,55,C++,32,generated by chatgpt,paddlefx\7fdf88f4f45a9580f5f17978d151e1cd60ec4409\examples\native_interpreter\interpreter.cc,,method,,7,"[33,77]",45,,,,,,,2,0,[],[],[],0,[],[],[],0,[],[],[],194,144,117,6,0,1,11.1,18,0,0,0,0.0,0,0,7,184,4.3,26,41,4.33,6.83,46,36,32,1,0,1,10.0,4,0,0,0,0.0,3,41,3.8,6,13,6.0,13.0,,,,0,0
5,dogegen,2023-12-28 14:47:35,C++,,24,2,5,2,49,C++,289,generated by chatgpt,dogegen\00c5601f81ddf08d5100b7b1f012fdf6cbb33a78\main.cpp,dogegen\d071438387e3c9df8a1913c012220e942c188815\main.cpp,method,,3,"[292,303]",12,,,,,,,26,18,"[-9, -10, -11, -12, -13, -14, -15, -16, -17, -18, -19, -20, -21, -22, -23, -24, -25, -26]","['d071438387e3c9df8a1913c012220e942c188815', '93eb8bdd6bb0473f0019cc11fa122531c946e4c9', '49a9c6ee21d88b54585be606ef73cf4ce9dd566b', '8c73f06fcf89338cad801f17cf80300bda577a0e', '7a91b92c4502104efe05c293d6c0a44c43504900', 'b6901054368839d6b90ecc6e669afb33ba166683', '10793fdb290dd45bcf62adcadb617951d2cbcc74', '09826c8224fa302501af89036fb7b7ce96f72a7a', '67ab4b5da24d6ba1746e593820b96ad956a6b8d2', '5719f24ca23870a42812d6d136cbae32b45f0b10', 'bb8c27548bc3ec44e823792849613711fa9e50f7', '684a7efb681262450b1e5f1ca73c84144a5b52de', '7292cec92cffbc6ad37bf71335d1c934703bee74', 'e497a8bc1e11cceb92eee19bed8c3c73ad912a8f', 'b400bc494177b34c8f1d109c9e2925358ba6ea50', 'a605742a67416c1ad064ce350d93a043c9ca944e', '50a41a6b52a8322f0a6681d76b6292a611134949', 'a4c36422fe8cf96029ab7a951194f7d1e606d1d5']","[[{'highest_ratio': 0.9541864139020537, 'best_match_position': (319, 330)}], [{'highest_ratio': 0.9541864139020537, 'best_match_position': (319, 330)}], [{'highest_ratio': 0.9541864139020537, 'best_match_position': (319, 330)}], [{'highest_ratio': 0.9541864139020537, 'best_match_position': (319, 330)}], [{'highest_ratio': 0.9541864139020537, 'best_match_position': (319, 330)}], [{'highest_ratio': 0.9541864139020537, 'best_match_position': (324, 335)}], [{'highest_ratio': 0.9541864139020537, 'best_match_position': (324, 335)}], [{'highest_ratio': 0.9541864139020537, 'best_match_position': (324, 335)}], [{'highest_ratio': 0.9541864139020537, 'best_match_position': (324, 335)}], [{'highest_ratio': 0.9541864139020537, 'best_match_position': (324, 335)}], [{'highest_ratio': 0.9541864139020537, 'best_match_position': (324, 335)}], [{'highest_ratio': 0.9541864139020537, 'best_match_position': (324, 335)}], [{'highest_ratio': 0.9541864139020537, 'best_match_position': (324, 335)}], [{'highest_ratio': 0.9541864139020537, 'best_match_position': (324, 335)}], [{'highest_ratio': 0.9541864139020537, 'best_match_position': (324, 335)}], [{'highest_ratio': 0.9541864139020537, 'best_match_position': (324, 335)}], [{'highest_ratio': 0.9541864139020537, 'best_match_position': (324, 335)}], [{'highest_ratio': 0.9541864139020537, 'best_match_position': (324, 335)}]]",1,[-9],['d071438387e3c9df8a1913c012220e942c188815'],"[[{'highest_ratio': 0.9541864139020537, 'best_match_position': (319, 330)}]]",0,[],[],[],908,674,569,12,2,1,6.1,44,0,0,0,0.0,0,0,20,976,4.8,115,152,9.58,12.67,13,12,9,1,0,1,7.7,1,0,0,0,0.0,4,25,6.9,3,3,3.0,3.0,,,,0,0
7,cs426project,2023-10-27 19:03:05,LLVM,2,0,0,0,1,67,C++,26,generated by chatgpt,cs426project\f2d8a8f68a92d15b431b843b811c743114732c85\UnitSCCP.h,,method,,7,"[27,31]",5,,,,,,,7,0,[],[],[],0,[],[],[],0,[],[],[],575,342,226,16,7,7,21.0,91,0,0,0,0.0,0,0,81,789,7.7,86,155,5.38,9.69,6,5,1,1,0,1,0.0,0,0,0,0,0.0,4,16,10.7,3,1,3.0,1.0,,,,0,0
11,Taskbar-AQI,2024-04-18 06:32:16,C++,,0,0,0,1,5,C++,1,generated by chatgpt,Taskbar-AQI\b977ba27948394d3bc06a67f9c0d08c27978f83f\tools\check-z-index.cpp,,file,,0,"[1,40]",40,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],312,174,131,8,0,3,17.9,38,0,0,0,0.0,0,0,19,253,4.8,23,13,2.88,1.62,40,26,23,2,0,1,7.1,2,0,0,0,0.0,5,50,6.4,6,5,3.0,2.5,,,,0,0
13,CS_1181_cpp,2023-08-29 20:08:50,C++,,0,0,0,1,144,C++,1,generated by chatgpt,CS_1181_cpp\ef26e72995ef52a048e8a4d0f26e7354417aafae\f23\ch13\rockPaperScissors.cpp,,file,,1,"[1,57]",57,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],3927,2421,1693,218,25,82,11.9,327,72,2,2,1.8,0,0,466,4881,6.7,508,347,2.33,1.59,57,40,29,1,0,1,13.0,6,0,0,0,0.0,4,52,4.3,12,8,12.0,8.0,,,,0,0
16,SX1276_Receive_LBJ,2023-09-09 07:04:47,C++,2,7,3,0,1,64,C++,501,generated by chatgpt,SX1276_Receive_LBJ\81797b376bd56cc98285b9e9eb8d6afca2c51f54\src\networks.cpp,SX1276_Receive_LBJ\2b9c80b28cb93aa44bee777deebf7d89fed4b8ec\src\networks.cpp,method,,13,"[501,523]",23,,,,,,,31,20,"[-12, -13, -14, -15, -16, -17, -18, -19, -20, -21, -22, -23, -24, -25, -26, -27, -28, -29, -30, -31]","['6ab0a43ebed35ccd9c3af1b30129ee7c95c670f6', '4b7d9ba7e6c064893dda8ca1a700d7d5fbbda99e', 'a37d01f5385f0bfa1c58ac491fdfe8618d0b0f6e', 'b54358a863f171e67a2a3d940707160f7cab8562', 'ce5e90d21a80496d4d4b44ec6ec7e4ae828584a5', '47c7866a72386524fd3cdddbc88d683a7d51ec1d', '3c07ae1de5a999e78a4e3c4b2771a8fb15afc76a', 'ae607869d430d8c634feabf0c5bbf3dddc42f2f6', '134d7fc26b86d1707e99512ff02ec8fd98fee8d6', '4e2e6b8c1e9807d02a219fd0db42d2395ca28b84', '59a951ddb538289d83c7304264175b8233d135a3', '701675fb9c691b8c0f0ffb11c46330e7c3478abf', '91c92ddf908c2a0a9ab7c1ad281bffdf5157521f', '52012dece320d8913fd0a652f204164c6e0cb23b', '7ecbd6aa54d948c045539c413f1a925bb6faec64', '2b9c80b28cb93aa44bee777deebf7d89fed4b8ec', '9acf5c912a6c6262af1577f35c25f4bf1c7eea5e', '5b3cf99a8083148bf7c16c21a6d7cbbd976af618', '9e7a2a142715b44d5aaa2406a89984a6084d670b', '3be18554992b05ceac619af3aff461ae882473fc']","[[{'highest_ratio': 0.9978142076502732, 'best_match_position': (582, 604)}], [{'highest_ratio': 0.9923830250272034, 'best_match_position': (560, 582)}], [{'highest_ratio': 0.9923830250272034, 'best_match_position': (560, 582)}], [{'highest_ratio': 0.9923830250272034, 'best_match_position': (560, 582)}], [{'highest_ratio': 0.9912948857453754, 'best_match_position': (589, 611)}], [{'highest_ratio': 0.9912948857453754, 'best_match_position': (596, 618)}], [{'highest_ratio': 0.9912948857453754, 'best_match_position': (597, 619)}], [{'highest_ratio': 0.9912948857453754, 'best_match_position': (597, 619)}], [{'highest_ratio': 0.9912948857453754, 'best_match_position': (610, 632)}], [{'highest_ratio': 0.9912948857453754, 'best_match_position': (612, 634)}], [{'highest_ratio': 0.9912948857453754, 'best_match_position': (613, 635)}], [{'highest_ratio': 0.9912948857453754, 'best_match_position': (622, 644)}], [{'highest_ratio': 0.9912948857453754, 'best_match_position': (638, 660)}], [{'highest_ratio': 0.9912948857453754, 'best_match_position': (692, 714)}], [{'highest_ratio': 0.9912948857453754, 'best_match_position': (694, 716)}], [{'highest_ratio': 0.9902067464635473, 'best_match_position': (694, 716)}], [{'highest_ratio': 0.9902067464635473, 'best_match_position': (694, 716)}], [{'highest_ratio': 0.9902067464635473, 'best_match_position': (694, 716)}], [{'highest_ratio': 0.9902067464635473, 'best_match_position': (695, 717)}], [{'highest_ratio': 0.9902067464635473, 'best_match_position': (702, 724)}]]",4,"[-12, -13, -16, -27]","['6ab0a43ebed35ccd9c3af1b30129ee7c95c670f6', '4b7d9ba7e6c064893dda8ca1a700d7d5fbbda99e', 'ce5e90d21a80496d4d4b44ec6ec7e4ae828584a5', '2b9c80b28cb93aa44bee777deebf7d89fed4b8ec']","[[{'highest_ratio': 0.9978142076502732, 'best_match_position': (582, 604)}], [{'highest_ratio': 0.9923830250272034, 'best_match_position': (560, 582)}], [{'highest_ratio': 0.9912948857453754, 'best_match_position': (589, 611)}], [{'highest_ratio': 0.9902067464635473, 'best_match_position': (694, 716)}]]",1,[-27],['2b9c80b28cb93aa44bee777deebf7d89fed4b8ec'],"[[{'highest_ratio': 0.9902067464635473, 'best_match_position': (694, 716)}]]",36491,17052,12751,979,61,128,27.3,6410,836,32,11,2.3,0,0,1841,27060,5.3,2833,2619,2.89,2.68,24,21,18,1,0,1,19.2,5,0,0,0,0.0,5,31,4.9,6,9,6.0,9.0,,,,0,0
17,neural-network,2023-07-26 22:36:03,C++,,1,0,0,1,51,C++,133,generated by chatgpt,neural-network\a65a9900b0704ff64acde873dad7dc1ae10fbe05\Dataset.cpp,,method,,4,"[[151,196],[219,255]]",83,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],893,460,242,42,11,14,24.1,146,0,0,0,0.0,0,0,107,784,5.7,83,56,1.98,1.33,85,61,55,2,0,1,6.2,4,0,0,0,0.0,8,100,5.5,9,8,4.5,4.0,,,,0,0
18,Quintin-OpenGL-Project,2024-02-02 00:31:34,C++,,1,0,0,1,117,C++,146,generated by chatgpt,Quintin-OpenGL-Project\8aa15639ddbf02958564b07a1ec82771d9d76b63\source\shapes\shapes.cpp,Quintin-OpenGL-Project\b7c255680390762c31b02c90a76ef0709d72209d\source\shapes\shapes.cpp,method,,27,"[146,196]",51,,,,,,,13,12,"[-2, -3, -4, -5, -6, -7, -8, -9, -10, -11, -12, -13]","['8ed046b6887e57d46a2a45cbb127e5a6768c7a77', 'bfbb3c53fbd0bf7bd07ee90fc3dc59bff0efc4c5', '9230a07fc68a0da939c508e77aa42d6652dd1333', 'd7b0c0e7604fe8d4b9fd477fdba99f02aaad183a', '05f4d173be587d2c2d387f69611b08ac93110847', 'b7c255680390762c31b02c90a76ef0709d72209d', 'aea9dcbeb4459adb79c9e5fa02520cce3186de0f', '9706dec566e5cb42dc21899ff7c7e797cc149579', 'e477cacb714f55c1295789c03b3b28f07dc8875d', '93b90317db374a11fb6834c5a5ec2c1b38d92044', 'b446386e770381ff19451471e1f2a4ede4c0d5bf', 'a0e1da02c20b8ceec6f40c2d8a9f719fbb3b997b']","[[{'highest_ratio': 0.9991235758106923, 'best_match_position': (146, 196)}], [{'highest_ratio': 0.9989773557341125, 'best_match_position': (146, 196)}], [{'highest_ratio': 0.9989773557341125, 'best_match_position': (146, 196)}], [{'highest_ratio': 0.23420647149460708, 'best_match_position': (315, 365)}], [{'highest_ratio': 0.20066273932253315, 'best_match_position': (248, 298)}], [{'highest_ratio': 0.20034149117814457, 'best_match_position': (268, 318)}], [{'highest_ratio': 0.20034149117814457, 'best_match_position': (268, 318)}], [{'highest_ratio': 0.20034149117814457, 'best_match_position': (308, 358)}], [{'highest_ratio': 0.20034149117814457, 'best_match_position': (308, 358)}], [{'highest_ratio': 0.20034149117814457, 'best_match_position': (308, 358)}], [{'highest_ratio': 0.20034149117814457, 'best_match_position': (310, 360)}], [{'highest_ratio': 0.20034149117814457, 'best_match_position': (328, 378)}]]",5,"[-2, -3, -5, -6, -7]","['8ed046b6887e57d46a2a45cbb127e5a6768c7a77', 'bfbb3c53fbd0bf7bd07ee90fc3dc59bff0efc4c5', 'd7b0c0e7604fe8d4b9fd477fdba99f02aaad183a', '05f4d173be587d2c2d387f69611b08ac93110847', 'b7c255680390762c31b02c90a76ef0709d72209d']","[[{'highest_ratio': 0.9991235758106923, 'best_match_position': (146, 196)}], [{'highest_ratio': 0.9989773557341125, 'best_match_position': (146, 196)}], [{'highest_ratio': 0.23420647149460708, 'best_match_position': (315, 365)}], [{'highest_ratio': 0.20066273932253315, 'best_match_position': (248, 298)}], [{'highest_ratio': 0.20034149117814457, 'best_match_position': (268, 318)}]]",1,[-6],['05f4d173be587d2c2d387f69611b08ac93110847'],"[[{'highest_ratio': 0.20066273932253315, 'best_match_position': (248, 298)}]]",82659,30389,13643,1702,193,504,34.2,15820,2596,141,36,3.1,0,0,6538,57594,6.3,4383,3676,2.58,2.16,52,41,39,1,0,1,8.9,4,0,0,0,0.0,4,79,6.4,3,3,3.0,3.0,,,,0,0
19,UdonSharpDecompiler,2023-03-16 20:22:41,C++,,3,1,1,1,26,C++,6,generated by chatgpt,UdonSharpDecompiler\8c9b7d7cca1c31355a862efac9aae6ec8386621b\UdonSharpDecompiler\UdonSharpDecompiler.cpp,UdonSharpDecompiler\e39ccc3b1c661516c080ef7eb2a1b98952e0ab8e\UdonSharpDecompiler\UdonSharpDecompiler.cpp,file,,3,"[1,52]",52,,,,,,,2,1,[-2],['e39ccc3b1c661516c080ef7eb2a1b98952e0ab8e'],"[[{'highest_ratio': 0.9243260798960702, 'best_match_position': (1, 57)}]]",1,[-2],['e39ccc3b1c661516c080ef7eb2a1b98952e0ab8e'],"[[{'highest_ratio': 0.9243260798960702, 'best_match_position': (1, 57)}]]",1,[-2],['e39ccc3b1c661516c080ef7eb2a1b98952e0ab8e'],"[[{'highest_ratio': 0.9243260798960702, 'best_match_position': (1, 57)}]]",999,736,497,25,5,5,6.2,49,0,0,0,0.0,0,0,133,1484,6.7,117,203,4.68,8.12,52,21,19,1,0,1,34.4,11,0,0,0,0.0,6,28,4.4,3,2,3.0,2.0,,,,0,0
