path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line,test_code,regular_expression
computer-sciences\130bbc82bfd9e92b76723abcdf6a486d3440284d\Python\exams\shells\chatgpt.py,1,created by chatgpt,file,"[1,58]",,
ChatGPTify\8086c62115bacf5cab8907f1c7bba9796da660c1\chatgptify.py,120,created by chatgpt,no code,,,
ISMS\17339aa6407867f48966304240d84fdc8ba844e2\devops\GPT\webpage_hash.py,1,created by chatgpt,file,"[1,38]",,
sd-trainer\833fac9d98cce4f14a2906adfa04ea3bf93fc365\tools\create_control_lora.py,86,created by chatgpt,statement,"[87,90]",,
glowing-robot\6d37c90d2229eebbded8a435c40d6482ae29d0c2\jigsaw\Puzzle_Piece_Identifier.py,2,created by chatgpt,file,"[1,39]",,
neurorient\4116c5502f90107e044c5cc69b6662d6034170f7\neurorient\logger.py,4,created by chatgpt,file,"[1,27]",,
markpickle\b24c8723a005f49cf0cc9c353c06259d4a51a75e\create_examples_by_file.py,7,created by chatgpt,method,"[6,15]",,
POS2IDON\c0436c68491321111400bebee5cfa60a225996bf\modules\Tiling.py,108,created by chatgpt,method,"[104,194]",,
website-2023\147b53d4ac53797daeb42d3526ab61e6d2a86171\static\python-scripts\poster_filter.py,1,created by chatgpt,file,"[1,40]",,
python-2draycasting-lines\e848288fd0a6ceb9e53f9092579624ea43effdf0\utils.py,7,created by chatgpt,method,"[8,62]",,
design-patterns-with-python\5c622a586bdfba619142d862507cf1be41c54480\structural\proxy.py,9,created by chatgpt,no code,,,
simplify-ecom\30b605d2d28938b07c4da6ea2ea45b659ebc26b4\sql.py,1,created by chatgpt,file,"[1,100]",,
vim_config\915748b7ee5c3b815db03429fce3181c7bfb7816\scripts\update_license_headers.py,1,created by chatgpt,file,"[1,32]",,
WD65C02_FPGA\174bb2e32be1f70311bbba6a239ed2a2763c7fa4\ASM\GameOfLife\DumpGameBoardMem.py,1,created by chatgpt,file,"[1,38]",,
eAkkadian\6bd910c3ec5090d78d333c3eb101f8df166782e2\_build\jupyter_execute\introduction\00_06_dh.py,14,created by chatgpt,no code,,,
YapaySinirAglari\c948221802479c6d9d5885540ebe4dafdc28b6a7\main.py,158,created by chatgpt,method,"[159,217]",,
moodify_app\5ecded464869830fb1a278486e96afec36d5b0ac\py script\calculate_mood_score.py,66,created by chatgpt,statement,"[67,82]",,
parallel-programming-with-python\d4b8849645f95bf8b6388a475d2267cc95ae4f8f\async_tutorial.py,9,created by chatgpt,no code,,,
seven_contents_by_ai\e7a67e658c9bee02e5f8ee8c30775ce2355ecbd6\src\media\video_editor.py,158,created by chatgpt,no code,,,
COMS-127\37a36c2f14f7a050e6423e6cceeb79839b7ba639\COMS127\asignments\fourInSequence.py,4,created by chatgpt,file,"[1,490]",,
Neural-Python-Network\7f3bc86467805337f15b4586e4322a1a9b820236\ChatGPT Neural Network.py,2,created by chatgpt,file,"[1,98]",,
vim_config\2e21e83b3cbdd2d7d290d4944b33be8ec85ca0fd\scripts\check_copyright_headers.py,1,created by chatgpt,file,"[1,28]",,
,-1,,,,,
neurorient\1d34765b7588e11c385433277e3b203df300b51c\neurorient\utils_config.py,13,created by chatgpt,method,"[11,45]",,
arcane_suite\9e179aee3af5cb249a2047e92136bcfb05fe0ba4\src\arcane_utils\misc.py,99,created by chatgpt,method,"[84,157]",,
arcane_suite\9e179aee3af5cb249a2047e92136bcfb05fe0ba4\src\arcane_utils\casa_wrapper.py,86,created by chatgpt,method,"[77,112]",,
2800-202310-BBY01\7cdbdc4756bda996b2535cca5fa55a31219cc18d\server\PnCGenerator\Fitness.py,8,created by chatgpt,file,"[1,36]",,
demos-python\b0d26746c4a64930c79a12b3d78f5a4bf2ee6731\src\examples\short\apps\make_video_snippet\create_with_filenames.py,5,created by chatgpt,file,"[1,45]",,
p13i.github.io\ebf963deb111d505f0b1e04bfaea56e3d9d5c623\scripts\generate_sitemap.py,3,created by chatgpt,method,"[4,23]",,
arcane_suite\19ca9d9a51fc7873ad6a599a34ab6c531f32ae36\src\arcane_utils\visual_diagnostics.py,61,created by chatgpt,method,"[53,114]",,
words_guesser\f33868367b0274aaf127ad0246fd2f2d81f78c66\classes\wordsbank.py,8,created by chatgpt,statement,"[9,160]",,input
PyBlogContentGPT\8e6526ad7dbb45701a9d8d3557f41faf6133fd18\PythonApplication1\PythonApplication1.py,20,created by chatgpt,no code,,,
eAkkadian\84b5e409bd41666888e4393fae78aad8a38f82f3\_build\jupyter_execute\lesson_02\02_09_regex.py,19,created by chatgpt,no code,,,
COT\1aff16e810a92c13b2d5751a4f229e51ad1fe253\app.py,161,created by chatgpt,no code,,,
PyProteomics\d110f16eb45046b69883c55160c50500b41289a9\maths.py,99,created by chatgpt,method,"[97,142]",,
design-patterns-with-python\9a429a72a177871c43b9f4b4df455fc85120f91c\creational\builder.py,9,created by chatgpt,no code,,,
backend\2a8b52493d9195046114127f3f8387e95d1b5a06\src\utils.py,39,created by chatgpt,method,"[37,53]",,
Hypothesizer-CLI\51c51a4562228c44f26e13e24cbe998932fe82c4\Parsers\SemgrepConversion.py,3,created by chatgpt,method,"[4,9]",,
design-patterns-with-python\8b4b266ca18b6456b29a1a2d638bfa95ab365503\structural\decorator.py,9,created by chatgpt,no code,,,
CS_50_final_project_best_jokes_app\e1dd42bc996e42e98c1f02e042706b4ed2d279b6\seed_db.py,7,created by chatgpt,statement,"[8,91]",,input
image_tool\b7e457736a22c399f7bfff1db4091886fde30c6b\google_photos_upload\src\google_photos_upload\google_photos_upload.py,5,created by chatgpt,file,"[1,31]",,
omnisphero-mil\f4d26f3cc02bb2e241b9fe11ce010a43d2adec9f\util\utils.py,358,created by chatgpt,method,"[[359,389],[411,429]]",,
ChatGPTAPIBook\a68a270b67e85c91ded8f9e8b36a62b562da0505\PuzzleBook\PuzzleBook.py,352,created by chatgpt,no code,,,
markpickle\f29202998c0d5ae3ebc2bd22de57bc1c2c6bacbb\markpickle\python_to_tables.py,80,created by chatgpt,method,"[78,123]",,
design-patterns-with-python\f4438f25a602028f321fd678a5b46227f2f189a3\behavioral\mediator.py,11,created by chatgpt,no code,,,
arcane_suite\19ca9d9a51fc7873ad6a599a34ab6c531f32ae36\src\arcane_pipelines\otfms\otfms_pointing_diagnostics.py,23,created by chatgpt,method,"[21,189]",,
design-patterns-with-python\00d2be239882732c711153c06a0695384daca1a9\behavioral\memento.py,11,created by chatgpt,no code,,,
arcane_suite\9e179aee3af5cb249a2047e92136bcfb05fe0ba4\src\arcane_pipelines\otfms\otfms_merge.py,23,created by chatgpt,method,"[21,208]",,
MSIA-FQ2\9ec3f00283dfcb4dcd1d27b465048570cfb4813a\414_msia\08_final_project\app.py,33,created by chatgpt,no code,,,
design-patterns-with-python\7b63047dc9a5626b3050373abc0c152a8d80471c\structural\adapter.py,16,created by chatgpt,no code,,,
design-patterns-with-python\08980515c9c4a25cf42fd634dd7fabd1f10e18c8\behavioral\strategy.py,10,created by chatgpt,no code,,,
arcane_suite\9e179aee3af5cb249a2047e92136bcfb05fe0ba4\src\arcane_pipelines\otfms\otfms_split.py,44,created by chatgpt,no code,,,
design-patterns-with-python\9a429a72a177871c43b9f4b4df455fc85120f91c\creational\abstract_factory.py,8,created by chatgpt,no code,,,
scml-agents\efecb6468273ae24323ad22d24819d968d092bb7\scml_agents\scml2023\oneshot\team_134\matching_agent.py,370,created by chatgpt,method,"[371,392]",,
pypatchy\f16650f0c2dfaff988d8b278fc5476db2e5a4e2d\pypatchy\configure.py,3,created by chatgpt,file,"[1,65]",,
CPSC393\f6f3898cde7e8f006aeb0b41be7a98c346af1dcb\HW4\hw4_sp24.py,418,created by chatgpt,no code,,,
arcane_suite\9e179aee3af5cb249a2047e92136bcfb05fe0ba4\src\arcane_pipelines\otfms\otfms_otf_pointing_correction.py,91,created by chatgpt,no code,,,
bdc_tool\8d44e2c5d3844c35989c28510e3d1731baec7d1f\bdc.py,87,created by chatgpt,method,"[88,95]",,
2800-202310-BBY01\7cdbdc4756bda996b2535cca5fa55a31219cc18d\server\PnCGenerator\DietPlans.py,8,created by chatgpt,file,"[1,38]",,
ot-running-calendar\79bd166eda6266aa7e746509e58250948d1deb27\src\repositories\run_repository.py,43,created by chatgpt,statement,"[44,64]",,
2800-202310-BBY01\7cdbdc4756bda996b2535cca5fa55a31219cc18d\server\PnCGenerator\FoodNutrition.py,8,created by chatgpt,file,"[1,39]",,
MITIM-fusion\63c4a1579c2f8ce6136232407a567cb61331abb7\src\mitim_tools\misc_tools\GRAPHICStools.py,837,created by chatgpt,method,"[833,851]",,
ChatGPT_table_example\6c208d9f9fb854e09662ad9a1ac8578bffc3c6f1\ChatGPT_infoOracle.py,10,created by chatgpt,no code,,,
mva2023\53a7d4e9f6e1506173802a9c0bc4856d8923dc65\tools\misc\extract_coco_large.py,1,created by chatgpt,file,"[1,54]",,
pearl-dental-broker-ai\ec63d0ae5f9ee107f5d18bb48d43b3983b8c2493\streamlit_app.py,636,created by chatgpt,no code,,,
ResearchOS\b61a7cc42278be99c85fc9dccbe0cb383dc6806c\src\ResearchOS\sqlite_pool.py,1,created by chatgpt,file,"[1,86]",,
design-patterns-with-python\a410226b86cf5b159602815ebe5e4fbc64e1dc2e\behavioral\visitor.py,11,created by chatgpt,no code,,,
arcane_suite\ebcde61e31484ccf3ea30784faf36ec11c949876\src\arcane_pipelines\otfms\otfms_clean_up.py,25,created by chatgpt,no code,,,
design-patterns-with-python\9a429a72a177871c43b9f4b4df455fc85120f91c\creational\prototype.py,8,created by chatgpt,no code,,,
design-patterns-with-python\0882f7b4fb90b66785716bbf47163864bf4ec5ed\structural\flyweight.py,10,created by chatgpt,no code,,,
design-patterns-with-python\b75a07530564c6b6fc6f7c16753e563182418816\behavioral\observer.py,10,created by chatgpt,no code,,,
ContentMachineComplete\9584c5856045ab17785d2a5d13c4b5cd55750e8f\ContentMachine\src\media\video_editor.py,181,created by chatgpt,no code,,,
